"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Task.Name","Task.Version","counterbalance.nnh1","counterbalance.yw81","randomiser.rl3q","counterbalance.oqb7","counterbalance.3hrr","Page","Page.ID","Page.Counter","Question","Response.Type","Key","Response","Tag","OptionOrder","Object.Name","Object.Number","Object.ID"
"91",1699471447149,"08/11/2023, 19:24:07",1699482247149,3.5,"09/11/2023, 01:24:07",140886,2,"questionnaire-e274",NA,32821330,9710186,NA,"complete","ucqhdo",NA,"computer","Desktop or Laptop","Windows 7","Chrome 76.0.3809.132","1366x768","1366x657",NA,"Questionnaire",4,"spreadsheet2","spreadsheet2",1,"","","Page 1","2dxwtu",1,"<p style=""text-align: right;"">   بالاترین مدرک تحصیلی‌تان چی هست؟</p>  ","response","value","کارشناسی",NA,"ابتدایی|دیپلم/کاردانی |کارشناسی|کارشناسی ارشد |دکترا","Dropdown",7,"object-18"
"92",1699471447151,"08/11/2023, 19:24:07",1699482247151,3.5,"09/11/2023, 01:24:07",140886,2,"questionnaire-e274",NA,32821330,9710186,NA,"complete","ucqhdo",NA,"computer","Desktop or Laptop","Windows 7","Chrome 76.0.3809.132","1366x768","1366x657",NA,"Questionnaire",4,"spreadsheet2","spreadsheet2",1,"","","Page 1","2dxwtu",1,"<p style=""text-align: right;"">   بالاترین مدرک تحصیلی‌تان چی هست؟</p>  ","response","quantised","3",NA,"ابتدایی|دیپلم/کاردانی |کارشناسی|کارشناسی ارشد |دکترا","Dropdown",7,"object-18"
"93",1699471447152,"08/11/2023, 19:24:07",1699482247152,3.5,"09/11/2023, 01:24:07",140886,2,"questionnaire-e274",NA,32821330,9710186,NA,"complete","ucqhdo",NA,"computer","Desktop or Laptop","Windows 7","Chrome 76.0.3809.132","1366x768","1366x657",NA,"Questionnaire",4,"spreadsheet2","spreadsheet2",1,"","","Page 1","2dxwtu",1,"<p style=""text-align: right;"">لطفا شغلتان را بنویسید؟</p>  ","response","value","خانه دار",NA,"","Text Input",8,"object-19"
"94",1699471447154,"08/11/2023, 19:24:07",1699482247154,3.5,"09/11/2023, 01:24:07",140886,2,"questionnaire-e274",NA,32821330,9710186,NA,"complete","ucqhdo",NA,"computer","Desktop or Laptop","Windows 7","Chrome 76.0.3809.132","1366x768","1366x657",NA,"Questionnaire",4,"spreadsheet2","spreadsheet2",1,"","","Page 1","2dxwtu",1,"<p style=""text-align: right;""> در چه سنی زبان‌های زیر را یاد گرفتید؟</p>  ","response","value","6",NA,"","Rating Scale",9,"object-109"
"95",1699471447157,"08/11/2023, 19:24:07",1699482247157,3.5,"09/11/2023, 01:24:07",140886,2,"questionnaire-e274",NA,32821330,9710186,NA,"complete","ucqhdo",NA,"computer","Desktop or Laptop","Windows 7","Chrome 76.0.3809.132","1366x768","1366x657",NA,"Questionnaire",4,"spreadsheet2","spreadsheet2",1,"","","Page 1","2dxwtu",1,"<p style=""text-align: right;""> در چه سنی زبان‌های زیر را یاد گرفتید؟</p>  ","response","quantised","6",NA,"","Rating Scale",9,"object-109"
"96",1699471447159,"08/11/2023, 19:24:07",1699482247159,3.5,"09/11/2023, 01:24:07",140886,2,"questionnaire-e274",NA,32821330,9710186,NA,"complete","ucqhdo",NA,"computer","Desktop or Laptop","Windows 7","Chrome 76.0.3809.132","1366x768","1366x657",NA,"Questionnaire",4,"spreadsheet2","spreadsheet2",1,"","","Page 1","2dxwtu",1,"","response","value","1",NA,"","Rating Scale",10,"object-110"
"97",1699471447160,"08/11/2023, 19:24:07",1699482247160,3.5,"09/11/2023, 01:24:07",140886,2,"questionnaire-e274",NA,32821330,9710186,NA,"complete","ucqhdo",NA,"computer","Desktop or Laptop","Windows 7","Chrome 76.0.3809.132","1366x768","1366x657",NA,"Questionnaire",4,"spreadsheet2","spreadsheet2",1,"","","Page 1","2dxwtu",1,"","response","quantised","1",NA,"","Rating Scale",10,"object-110"
"98",1699471447162,"08/11/2023, 19:24:07",1699482247162,3.5,"09/11/2023, 01:24:07",140886,2,"questionnaire-e274",NA,32821330,9710186,NA,"complete","ucqhdo",NA,"computer","Desktop or Laptop","Windows 7","Chrome 76.0.3809.132","1366x768","1366x657",NA,"Questionnaire",4,"spreadsheet2","spreadsheet2",1,"","","Page 1","2dxwtu",1,"","response","value","15",NA,"","Rating Scale",11,"object-111"
"99",1699471447163,"08/11/2023, 19:24:07",1699482247163,3.5,"09/11/2023, 01:24:07",140886,2,"questionnaire-e274",NA,32821330,9710186,NA,"complete","ucqhdo",NA,"computer","Desktop or Laptop","Windows 7","Chrome 76.0.3809.132","1366x768","1366x657",NA,"Questionnaire",4,"spreadsheet2","spreadsheet2",1,"","","Page 1","2dxwtu",1,"","response","quantised","15",NA,"","Rating Scale",11,"object-111"
"100",1699471447164,"08/11/2023, 19:24:07",1699482247164,3.5,"09/11/2023, 01:24:07",140886,2,"questionnaire-e274",NA,32821330,9710186,NA,"complete","ucqhdo",NA,"computer","Desktop or Laptop","Windows 7","Chrome 76.0.3809.132","1366x768","1366x657",NA,"Questionnaire",4,"spreadsheet2","spreadsheet2",1,"","","Page 1","2dxwtu",1,"<p style=""text-align: right;""> در چه سنی احساس کردید به راحتی می‌توانید از زبان‌های زیر استفاده کنید؟</p>  ","response","value","6",NA,"","Rating Scale",12,"object-112"
"101",1699471447166,"08/11/2023, 19:24:07",1699482247166,3.5,"09/11/2023, 01:24:07",140886,2,"questionnaire-e274",NA,32821330,9710186,NA,"complete","ucqhdo",NA,"computer","Desktop or Laptop","Windows 7","Chrome 76.0.3809.132","1366x768","1366x657",NA,"Questionnaire",4,"spreadsheet2","spreadsheet2",1,"","","Page 1","2dxwtu",1,"<p style=""text-align: right;""> در چه سنی احساس کردید به راحتی می‌توانید از زبان‌های زیر استفاده کنید؟</p>  ","response","quantised","7",NA,"","Rating Scale",12,"object-112"
"102",1699471447167,"08/11/2023, 19:24:07",1699482247167,3.5,"09/11/2023, 01:24:07",140886,2,"questionnaire-e274",NA,32821330,9710186,NA,"complete","ucqhdo",NA,"computer","Desktop or Laptop","Windows 7","Chrome 76.0.3809.132","1366x768","1366x657",NA,"Questionnaire",4,"spreadsheet2","spreadsheet2",1,"","","Page 1","2dxwtu",1,"","response","value","5",NA,"","Rating Scale",13,"object-113"
"103",1699471447168,"08/11/2023, 19:24:07",1699482247168,3.5,"09/11/2023, 01:24:07",140886,2,"questionnaire-e274",NA,32821330,9710186,NA,"complete","ucqhdo",NA,"computer","Desktop or Laptop","Windows 7","Chrome 76.0.3809.132","1366x768","1366x657",NA,"Questionnaire",4,"spreadsheet2","spreadsheet2",1,"","","Page 1","2dxwtu",1,"","response","quantised","6",NA,"","Rating Scale",13,"object-113"
"104",1699471447170,"08/11/2023, 19:24:07",1699482247170,3.5,"09/11/2023, 01:24:07",140886,2,"questionnaire-e274",NA,32821330,9710186,NA,"complete","ucqhdo",NA,"computer","Desktop or Laptop","Windows 7","Chrome 76.0.3809.132","1366x768","1366x657",NA,"Questionnaire",4,"spreadsheet2","spreadsheet2",1,"","","Page 1","2dxwtu",1,"","response","value","15",NA,"","Rating Scale",14,"object-114"
"105",1699471447171,"08/11/2023, 19:24:07",1699482247171,3.5,"09/11/2023, 01:24:07",140886,2,"questionnaire-e274",NA,32821330,9710186,NA,"complete","ucqhdo",NA,"computer","Desktop or Laptop","Windows 7","Chrome 76.0.3809.132","1366x768","1366x657",NA,"Questionnaire",4,"spreadsheet2","spreadsheet2",1,"","","Page 1","2dxwtu",1,"","response","quantised","16",NA,"","Rating Scale",14,"object-114"
"106",1699471447172,"08/11/2023, 19:24:07",1699482247172,3.5,"09/11/2023, 01:24:07",140886,2,"questionnaire-e274",NA,32821330,9710186,NA,"complete","ucqhdo",NA,"computer","Desktop or Laptop","Windows 7","Chrome 76.0.3809.132","1366x768","1366x657",NA,"Questionnaire",4,"spreadsheet2","spreadsheet2",1,"","","Page 1","2dxwtu",1,"<p style=""text-align: right;""> بیشتر راحت هستید با کدام زبان زیر صحبت کنید؟ </p>  ","response","value","هر دو",NA,"ترکی آذری|فارسی|هر دو","Dropdown",15,"object-26"
"107",1699471447173,"08/11/2023, 19:24:07",1699482247173,3.5,"09/11/2023, 01:24:07",140886,2,"questionnaire-e274",NA,32821330,9710186,NA,"complete","ucqhdo",NA,"computer","Desktop or Laptop","Windows 7","Chrome 76.0.3809.132","1366x768","1366x657",NA,"Questionnaire",4,"spreadsheet2","spreadsheet2",1,"","","Page 1","2dxwtu",1,"<p style=""text-align: right;""> بیشتر راحت هستید با کدام زبان زیر صحبت کنید؟ </p>  ","response","quantised","3",NA,"ترکی آذری|فارسی|هر دو","Dropdown",15,"object-26"
"108",1699471447175,"08/11/2023, 19:24:07",1699482247175,3.5,"09/11/2023, 01:24:07",140886,2,"questionnaire-e274",NA,32821330,9710186,NA,"complete","ucqhdo",NA,"computer","Desktop or Laptop","Windows 7","Chrome 76.0.3809.132","1366x768","1366x657",NA,"Questionnaire",4,"spreadsheet2","spreadsheet2",1,"","","Page 1","2dxwtu",1,"  <p style=""text-align: right;"">چند سال از مدرسه یا دانشگاه را (کلاس ریاضی، تاریخ، هنر، دستور و غیره) به زبان‌های زیر سپری کردید؟ </p>  ","response","value","1",NA,"","Slider",16,"object-27"
"109",1699471447176,"08/11/2023, 19:24:07",1699482247176,3.5,"09/11/2023, 01:24:07",140886,2,"questionnaire-e274",NA,32821330,9710186,NA,"complete","ucqhdo",NA,"computer","Desktop or Laptop","Windows 7","Chrome 76.0.3809.132","1366x768","1366x657",NA,"Questionnaire",4,"spreadsheet2","spreadsheet2",1,"","","Page 1","2dxwtu",1,"","response","value","17",NA,"","Slider",17,"object-28"
"110",1699471447178,"08/11/2023, 19:24:07",1699482247178,3.5,"09/11/2023, 01:24:07",140886,2,"questionnaire-e274",NA,32821330,9710186,NA,"complete","ucqhdo",NA,"computer","Desktop or Laptop","Windows 7","Chrome 76.0.3809.132","1366x768","1366x657",NA,"Questionnaire",4,"spreadsheet2","spreadsheet2",1,"","","Page 1","2dxwtu",1,"","response","value","1",NA,"","Slider",18,"object-30"
"111",1699471447179,"08/11/2023, 19:24:07",1699482247179,3.5,"09/11/2023, 01:24:07",140886,2,"questionnaire-e274",NA,32821330,9710186,NA,"complete","ucqhdo",NA,"computer","Desktop or Laptop","Windows 7","Chrome 76.0.3809.132","1366x768","1366x657",NA,"Questionnaire",4,"spreadsheet2","spreadsheet2",1,"","","Page 1","2dxwtu",1,"<p style=""text-align: right;"">  چند سال در خانواده یا محیطی (خوابگاه یا هم‌خانه) زندگی کردید که به زبان‌های زیر صحبت می‌شد/می‌شود؟</p>  ","response","value","20",NA,"","Slider",19,"object-31"
"112",1699471447181,"08/11/2023, 19:24:07",1699482247181,3.5,"09/11/2023, 01:24:07",140886,2,"questionnaire-e274",NA,32821330,9710186,NA,"complete","ucqhdo",NA,"computer","Desktop or Laptop","Windows 7","Chrome 76.0.3809.132","1366x768","1366x657",NA,"Questionnaire",4,"spreadsheet2","spreadsheet2",1,"","","Page 1","2dxwtu",1,"","response","value","23",NA,"","Slider",20,"object-32"
"113",1699471447183,"08/11/2023, 19:24:07",1699482247183,3.5,"09/11/2023, 01:24:07",140886,2,"questionnaire-e274",NA,32821330,9710186,NA,"complete","ucqhdo",NA,"computer","Desktop or Laptop","Windows 7","Chrome 76.0.3809.132","1366x768","1366x657",NA,"Questionnaire",4,"spreadsheet2","spreadsheet2",1,"","","Page 1","2dxwtu",1,"","response","value","5",NA,"","Slider",21,"object-33"
"114",1699471447184,"08/11/2023, 19:24:07",1699482247184,3.5,"09/11/2023, 01:24:07",140886,2,"questionnaire-e274",NA,32821330,9710186,NA,"complete","ucqhdo",NA,"computer","Desktop or Laptop","Windows 7","Chrome 76.0.3809.132","1366x768","1366x657",NA,"Questionnaire",4,"spreadsheet2","spreadsheet2",1,"","","Page 1","2dxwtu",1,"<p style=""text-align: right;"">  چند سال در محیط کاری سپری کردید که به زبان‌های زیر صحبت می‌شد/می‌شود؟</p>  ","response","value","2",NA,"","Slider",22,"object-34"
"115",1699471447185,"08/11/2023, 19:24:07",1699482247185,3.5,"09/11/2023, 01:24:07",140886,2,"questionnaire-e274",NA,32821330,9710186,NA,"complete","ucqhdo",NA,"computer","Desktop or Laptop","Windows 7","Chrome 76.0.3809.132","1366x768","1366x657",NA,"Questionnaire",4,"spreadsheet2","spreadsheet2",1,"","","Page 1","2dxwtu",1,"","response","value","2",NA,"","Slider",23,"object-35"
"116",1699471447187,"08/11/2023, 19:24:07",1699482247187,3.5,"09/11/2023, 01:24:07",140886,2,"questionnaire-e274",NA,32821330,9710186,NA,"complete","ucqhdo",NA,"computer","Desktop or Laptop","Windows 7","Chrome 76.0.3809.132","1366x768","1366x657",NA,"Questionnaire",4,"spreadsheet2","spreadsheet2",1,"","","Page 1","2dxwtu",1,"","response","value","1",NA,"","Slider",24,"object-36"
"117",1699471447189,"08/11/2023, 19:24:07",1699482247189,3.5,"09/11/2023, 01:24:07",140886,2,"questionnaire-e274",NA,32821330,9710186,NA,"complete","ucqhdo",NA,"computer","Desktop or Laptop","Windows 7","Chrome 76.0.3809.132","1366x768","1366x657",NA,"Questionnaire",4,"spreadsheet2","spreadsheet2",1,"","","Page 1","2dxwtu",1,"<p style=""text-align: right;""> آیا تا به حال در کلاس‌های آذری یا ترکی استانبولی شرکت کردید؟ </p>  ","response","value","نه",NA,"نه|کمتر از 6 ماه       |1 سال     |بیشتر از 1 سال","Dropdown",25,"object-38"
"118",1699471447190,"08/11/2023, 19:24:07",1699482247190,3.5,"09/11/2023, 01:24:07",140886,2,"questionnaire-e274",NA,32821330,9710186,NA,"complete","ucqhdo",NA,"computer","Desktop or Laptop","Windows 7","Chrome 76.0.3809.132","1366x768","1366x657",NA,"Questionnaire",4,"spreadsheet2","spreadsheet2",1,"","","Page 1","2dxwtu",1,"<p style=""text-align: right;""> آیا تا به حال در کلاس‌های آذری یا ترکی استانبولی شرکت کردید؟ </p>  ","response","quantised","1",NA,"نه|کمتر از 6 ماه       |1 سال     |بیشتر از 1 سال","Dropdown",25,"object-38"
"119",1699471447192,"08/11/2023, 19:24:07",1699482247192,3.5,"09/11/2023, 01:24:07",140886,2,"questionnaire-e274",NA,32821330,9710186,NA,"complete","ucqhdo",NA,"computer","Desktop or Laptop","Windows 7","Chrome 76.0.3809.132","1366x768","1366x657",NA,"Questionnaire",4,"spreadsheet2","spreadsheet2",1,"","","Page 2","zwjip4",2,"<p style=""text-align: right;"">  در طول روز چند درصد مواقع با اعضای خانواده/فرزندان/دوستانتان به زبان‌های زیر صحبت می‌کنید؟ (به درصد مشخص کنید.)</p>  ","response","value","30",NA,"","Slider",1,"object-40"
"120",1699471447194,"08/11/2023, 19:24:07",1699482247194,3.5,"09/11/2023, 01:24:07",140886,2,"questionnaire-e274",NA,32821330,9710186,NA,"complete","ucqhdo",NA,"computer","Desktop or Laptop","Windows 7","Chrome 76.0.3809.132","1366x768","1366x657",NA,"Questionnaire",4,"spreadsheet2","spreadsheet2",1,"","","Page 2","zwjip4",2,"","response","value","90",NA,"","Slider",2,"object-41"
"121",1699471447195,"08/11/2023, 19:24:07",1699482247195,3.5,"09/11/2023, 01:24:07",140886,2,"questionnaire-e274",NA,32821330,9710186,NA,"complete","ucqhdo",NA,"computer","Desktop or Laptop","Windows 7","Chrome 76.0.3809.132","1366x768","1366x657",NA,"Questionnaire",4,"spreadsheet2","spreadsheet2",1,"","","Page 2","zwjip4",2,"","response","value","10",NA,"","Slider",3,"object-42"
"122",1699471447197,"08/11/2023, 19:24:07",1699482247197,3.5,"09/11/2023, 01:24:07",140886,2,"questionnaire-e274",NA,32821330,9710186,NA,"complete","ucqhdo",NA,"computer","Desktop or Laptop","Windows 7","Chrome 76.0.3809.132","1366x768","1366x657",NA,"Questionnaire",4,"spreadsheet2","spreadsheet2",1,"","","Page 2","zwjip4",2,"<p style=""text-align: right;"">  در طول روز چند درصد به زبان‌های زیر موسیقی گوش می‌کنید یا فیلم و سریال تماشا می‌کنید؟    </p> ","response","value","40",NA,"","Slider",4,"object-76"
"123",1699471447199,"08/11/2023, 19:24:07",1699482247199,3.5,"09/11/2023, 01:24:07",140886,2,"questionnaire-e274",NA,32821330,9710186,NA,"complete","ucqhdo",NA,"computer","Desktop or Laptop","Windows 7","Chrome 76.0.3809.132","1366x768","1366x657",NA,"Questionnaire",4,"spreadsheet2","spreadsheet2",1,"","","Page 2","zwjip4",2,"","response","value","60",NA,"","Slider",5,"object-78"
"124",1699471447201,"08/11/2023, 19:24:07",1699482247201,3.5,"09/11/2023, 01:24:07",140886,2,"questionnaire-e274",NA,32821330,9710186,NA,"complete","ucqhdo",NA,"computer","Desktop or Laptop","Windows 7","Chrome 76.0.3809.132","1366x768","1366x657",NA,"Questionnaire",4,"spreadsheet2","spreadsheet2",1,"","","Page 2","zwjip4",2,"<p style=""text-align: right;"">  در طول روز چند درصد به زبان‌های زیر می‌نویسید؟ (برای مثال در شبکه‌های اجتماعی یا یادداشت روزانه)   </p> ","response","value","10",NA,"","Slider",7,"object-77"
"125",1699471447202,"08/11/2023, 19:24:07",1699482247202,3.5,"09/11/2023, 01:24:07",140886,2,"questionnaire-e274",NA,32821330,9710186,NA,"complete","ucqhdo",NA,"computer","Desktop or Laptop","Windows 7","Chrome 76.0.3809.132","1366x768","1366x657",NA,"Questionnaire",4,"spreadsheet2","spreadsheet2",1,"","","Page 2","zwjip4",2,"","response","value","70",NA,"","Slider",8,"object-80"
"126",1699471447205,"08/11/2023, 19:24:07",1699482247205,3.5,"09/11/2023, 01:24:07",140886,2,"questionnaire-e274",NA,32821330,9710186,NA,"complete","ucqhdo",NA,"computer","Desktop or Laptop","Windows 7","Chrome 76.0.3809.132","1366x768","1366x657",NA,"Questionnaire",4,"spreadsheet2","spreadsheet2",1,"","","Page 2","zwjip4",2,"","response","value","30",NA,"","Slider",9,"object-81"
"127",1699471447206,"08/11/2023, 19:24:07",1699482247206,3.5,"09/11/2023, 01:24:07",140886,2,"questionnaire-e274",NA,32821330,9710186,NA,"complete","ucqhdo",NA,"computer","Desktop or Laptop","Windows 7","Chrome 76.0.3809.132","1366x768","1366x657",NA,"Questionnaire",4,"spreadsheet2","spreadsheet2",1,"","","Page 2","zwjip4",2,"<p style=""text-align: right;"">  در طول روز چند درصد مواقع به زبان‌های زیر مطالعه می‌کنید؟ (کتاب، روزنامه، پیام‌ها و پست‌های شبکه‌های اجتماعی مثل اینستاگرام، واتس‌اپ و تلگرام)   </p> ","response","value","10",NA,"","Slider",10,"object-82"
"128",1699471447208,"08/11/2023, 19:24:07",1699482247208,3.5,"09/11/2023, 01:24:07",140886,2,"questionnaire-e274",NA,32821330,9710186,NA,"complete","ucqhdo",NA,"computer","Desktop or Laptop","Windows 7","Chrome 76.0.3809.132","1366x768","1366x657",NA,"Questionnaire",4,"spreadsheet2","spreadsheet2",1,"","","Page 2","zwjip4",2,"","response","value","100",NA,"","Slider",11,"object-83"
"129",1699471447210,"08/11/2023, 19:24:07",1699482247210,3.5,"09/11/2023, 01:24:07",140886,2,"questionnaire-e274",NA,32821330,9710186,NA,"complete","ucqhdo",NA,"computer","Desktop or Laptop","Windows 7","Chrome 76.0.3809.132","1366x768","1366x657",NA,"Questionnaire",4,"spreadsheet2","spreadsheet2",1,"","","Page 2","zwjip4",2,"","response","value","20",NA,"","Slider",12,"object-84"
"130",1699471447212,"08/11/2023, 19:24:07",1699482247212,3.5,"09/11/2023, 01:24:07",140886,2,"questionnaire-e274",NA,32821330,9710186,NA,"complete","ucqhdo",NA,"computer","Desktop or Laptop","Windows 7","Chrome 76.0.3809.132","1366x768","1366x657",NA,"Questionnaire",4,"spreadsheet2","spreadsheet2",1,"","","Page 2","zwjip4",2,"<p style=""text-align: right;"">  زبان آذری را چه‌قدر خوب صحبت می‌کنید؟ (چه‌قدر خوب کلمات، اصطلاحات و ضرب‌المثل آذری استفاده می‌کنید یا چقدر خوب یک پدیده علمی را به زبان آذری می‌توانید توضیح دهید) 0 به معنای خیلی بد و 6 به معنای عالی‌ست  </p> ","response","value","6",NA,"","Rating Scale",13,"object-86"
"131",1699471447214,"08/11/2023, 19:24:07",1699482247214,3.5,"09/11/2023, 01:24:07",140886,2,"questionnaire-e274",NA,32821330,9710186,NA,"complete","ucqhdo",NA,"computer","Desktop or Laptop","Windows 7","Chrome 76.0.3809.132","1366x768","1366x657",NA,"Questionnaire",4,"spreadsheet2","spreadsheet2",1,"","","Page 2","zwjip4",2,"<p style=""text-align: right;"">  زبان آذری را چه‌قدر خوب صحبت می‌کنید؟ (چه‌قدر خوب کلمات، اصطلاحات و ضرب‌المثل آذری استفاده می‌کنید یا چقدر خوب یک پدیده علمی را به زبان آذری می‌توانید توضیح دهید) 0 به معنای خیلی بد و 6 به معنای عالی‌ست  </p> ","response","quantised","7",NA,"","Rating Scale",13,"object-86"
